,nodes,id,avg_avg_fit,min_best_fit,max_best_fit,avg_best_fit
72,10,20,1.9745599999999996,2.0,2.0,2.0
73,10,325,1.98464,2.0,2.0,2.0
74,10,435,1.98232,2.0,2.0,2.0
75,10,211,1.97704,2.0,2.0,2.0
76,10,149,1.96936,2.0,2.0,2.0
77,10,321,1.9738399999999998,2.0,2.0,2.0
78,10,152,1.9787199999999998,2.0,2.0,2.0
79,10,441,1.97408,1.98,2.0,1.998
80,10,259,1.9805599999999994,2.0,2.0,2.0
81,10,299,1.9764,2.0,2.0,2.0
82,10,457,1.9648800000000002,2.0,2.0,2.0
83,10,389,1.98048,2.0,2.0,2.0
84,10,76,1.9746400000000002,2.0,2.0,2.0
85,10,133,1.9782400000000002,2.0,2.0,2.0
86,10,398,1.9761599999999997,2.0,2.0,2.0
87,10,387,1.97344,2.0,2.0,2.0
88,10,459,1.9682399999999998,2.0,2.0,2.0
89,10,247,1.988,2.0,2.0,2.0
90,10,106,1.95016,1.98,2.0,1.998
91,10,103,1.9826399999999995,2.0,2.0,2.0
92,10,169,1.98264,2.0,2.0,2.0
93,10,333,1.9677599999999997,1.96,2.0,1.996
94,10,351,1.984,2.0,2.0,2.0
95,10,461,1.9633599999999998,2.0,2.0,2.0
96,10,24,1.966,2.0,2.0,2.0
97,10,405,1.9869599999999998,2.0,2.0,2.0
98,10,437,1.982,2.0,2.0,2.0
99,10,378,1.9654400000000003,2.0,2.0,2.0
100,10,416,1.98176,2.0,2.0,2.0
101,10,60,1.96848,2.0,2.0,2.0
102,10,446,1.97792,2.0,2.0,2.0
103,10,252,1.97072,2.0,2.0,2.0
104,10,256,1.9677600000000002,2.0,2.0,2.0
105,10,356,1.9647999999999999,1.98,2.0,1.998
106,10,101,1.95352,2.0,2.0,2.0
107,10,286,1.9587999999999997,2.0,2.0,2.0
108,10,479,1.97896,2.0,2.0,2.0
109,10,84,1.9851999999999996,1.98,2.0,1.998
110,10,449,1.98464,2.0,2.0,2.0
111,10,244,1.9751999999999998,2.0,2.0,2.0
112,10,81,1.9707999999999999,2.0,2.0,2.0
113,10,382,1.9872799999999997,2.0,2.0,2.0
114,10,153,1.97688,2.0,2.0,2.0
115,10,79,1.97296,2.0,2.0,2.0
116,10,145,1.97352,2.0,2.0,2.0
117,10,307,1.9700799999999998,2.0,2.0,2.0
118,10,414,1.9697599999999997,2.0,2.0,2.0
119,10,59,1.97624,2.0,2.0,2.0
120,10,11,1.9709599999999998,2.0,2.0,2.0
121,10,300,1.9694399999999999,2.0,2.0,2.0
122,10,302,1.98392,2.0,2.0,2.0
123,10,447,1.96128,2.0,2.0,2.0
124,10,166,1.9600799999999996,1.98,2.0,1.998
125,10,352,1.97352,2.0,2.0,2.0
126,10,394,1.9668800000000002,2.0,2.0,2.0
127,10,311,1.9726400000000002,2.0,2.0,2.0
128,10,243,1.97144,2.0,2.0,2.0
129,10,64,1.9694399999999999,2.0,2.0,2.0
130,10,369,1.98232,2.0,2.0,2.0
131,10,157,1.97608,2.0,2.0,2.0
132,10,52,1.9608,2.0,2.0,2.0
133,10,260,1.9607199999999996,1.98,2.0,1.998
134,10,301,1.9719199999999997,2.0,2.0,2.0
135,10,480,1.9612800000000004,2.0,2.0,2.0
136,10,37,1.97088,2.0,2.0,2.0
137,10,232,1.982,2.0,2.0,2.0
138,10,465,1.9819200000000001,2.0,2.0,2.0
139,10,254,1.9787200000000003,2.0,2.0,2.0
140,10,140,1.97144,2.0,2.0,2.0
141,10,322,1.9707199999999996,1.98,2.0,1.998
142,10,186,1.9842399999999998,2.0,2.0,2.0
143,10,226,1.97496,2.0,2.0,2.0
144,10,312,1.96736,2.0,2.0,2.0
145,10,410,1.97824,2.0,2.0,2.0
