,Unnamed: 0,nodes,id,avg_avg_fit,min_best_fit,max_best_fit,avg_best_fit,prop_fit_enough,avg_peak_sd,prop_together,num_edges,two_cycles,long_cycles,strongly_connected
250,250,14,236,2.075680527739716,2.567975888104346,4.913070822450555,3.5082479696275968,0.0,0.0,0.0,44,4,505,True
251,251,14,86,2.276425323785749,3.113701279654603,7.01323828123631,4.4936672622128375,0.0,0.0,0.0,43,5,668,True
252,252,14,155,2.646801423021267,2.9329691920577963,5.816120828082791,4.349318788273071,0.0,0.0,0.0,46,4,1037,False
253,253,14,274,2.0922620794113684,3.1509529666272496,7.43963894170296,3.9938203639216434,0.0,0.0,0.0,43,5,559,True
254,254,14,9,2.47851500315214,3.2561319934869672,5.693903177791697,4.702060923351213,0.0,0.0,0.0,44,5,909,True
255,255,14,380,2.8875886052527227,3.9679868134668923,6.788067569557705,5.056350435356371,0.0,0.0,0.0,44,4,145,False
256,256,14,273,2.5531460757268247,3.4738089868045736,5.629257745369816,4.604980845557547,0.0,0.0,0.0,42,10,198,True
257,257,14,20,2.34469269157005,3.0743911690740524,5.332342870558149,4.293790653359828,0.0,0.0,0.0,43,5,649,True
258,258,14,95,2.5863696742501494,3.5335753277554542,5.4981171113355005,4.512420846202039,0.0,0.0,0.0,45,3,2121,True
259,259,14,233,2.333585633641165,3.07781829917064,5.598636460354502,4.355442940931886,0.0,0.0,0.0,43,5,789,True
260,260,14,357,2.5898689498136758,2.884039320425044,6.2213566468244625,4.492910032361952,0.0,0.0,0.0,46,6,601,True
261,261,14,28,2.448197037733455,2.8582119335825547,6.2103977362399885,4.612912688685621,0.0,0.0,0.0,42,5,774,False
262,262,14,364,2.141060471707469,2.6603087361032283,5.124147055210473,3.699471885232644,0.0,0.0,0.0,42,6,26,True
263,263,14,55,2.643425753633399,3.125112125629168,7.596067563615565,5.029612445565987,0.0,0.0,0.0,42,6,811,True
264,264,14,321,2.6235886602883722,3.377877986856312,7.177772104289553,4.589845417693876,0.0,0.0,0.0,44,6,597,True
265,265,14,61,2.427451436561496,3.2325151608951743,5.5189981825992716,4.3191421036345155,0.0,0.0,0.0,41,5,263,False
266,266,14,440,2.572388707622283,3.5243452537869517,6.097609510200853,4.487243966341612,0.0,0.0,0.0,45,8,343,False
267,267,14,89,2.192127790189128,2.848786107663398,4.976052291447443,4.075803612421075,0.0,0.0,0.0,41,4,558,False
268,268,14,492,2.648994700003761,2.5529877354077146,6.7107765545837434,4.569205459990434,0.0,0.0,0.0,43,6,73,True
269,269,14,388,2.3651038443724905,2.855245047299648,6.127038977090012,4.6346892173315135,0.0,0.0,0.0,44,6,761,False
270,270,14,480,1.8006973396073565,2.5887555771524484,3.9442716224609375,3.013609860088032,0.0,0.0,0.0,42,2,1046,True
271,271,14,143,2.693428572417395,3.6128749872181785,7.062239920778576,4.961241575127509,0.0,0.0,0.0,42,5,323,True
272,272,14,101,2.367158047226593,3.1276987365055517,6.335614772025492,4.256833201116566,0.0,0.0,0.0,44,6,1217,True
273,273,14,141,2.0587190506686914,2.949712217602917,4.379797439878442,3.724920295843164,0.0,0.0,0.0,39,6,181,True
274,274,14,25,2.406405155478683,3.2495204369713258,7.5266960206847004,4.390962966145139,0.0,0.0,0.0,43,7,478,True
275,275,14,358,2.2083121865925945,3.248799689925532,4.722952994158518,3.9441146102965488,0.0,0.0,0.0,43,7,396,True
