,nodes,id,avg_avg_fit,min_best_fit,max_best_fit,avg_best_fit,prop_fit_enough,avg_peak_sd,prop_together
56,9,454,4.43761884229889,5.8928498279919195,11.033073905618684,8.93728022492375,0.0,0.0,0.0
57,9,289,4.735778967929708,5.804623501522827,10.849516038054029,8.33319092109181,0.0,0.0,0.0
58,9,163,4.746979004642698,5.734773057297186,11.201025505254066,8.924244489141227,0.0,0.0,0.0
59,9,259,4.6537230635106726,4.791553167592863,9.789663455983636,7.8072679801684215,0.0,0.0,0.0
60,9,256,3.762748066911834,4.699513243299331,8.84499490545791,7.493328971970541,0.0,0.0,0.0
61,9,90,3.947799899953742,5.313932332925283,9.483901911283485,7.59446213891832,0.0,0.0,0.0
62,9,419,4.628469760094246,4.908852117315274,11.159785923557905,8.480046280005215,0.0,0.0,0.0
63,9,157,4.645705275595963,5.304686853296731,10.947355486781557,8.914945714719442,0.0,0.0,0.0
64,9,364,4.193966159759985,4.467930836333671,12.25843070555257,8.056518814548358,0.1,0.09262248921747371,0.0
65,9,276,4.7625132358041276,6.637665792784025,13.780927089807902,8.859542027600016,0.1,0.4169808951067033,0.0
66,9,159,4.7128899712750645,6.917440177857678,10.83384889155657,8.965131030235101,0.0,0.0,0.0
67,9,51,4.513184190473249,5.812524462730629,11.163201249830049,8.33255365536996,0.0,0.0,0.0
68,9,216,3.794420076992014,5.147565785721746,11.906381711465153,7.532734428820501,0.0,0.0,0.0
69,9,383,3.7528365104735193,5.6289911711673986,10.225713728613673,7.587165093408812,0.0,0.0,0.0
70,9,37,4.656560549748965,7.3161439220764075,10.466040927636453,8.77934139223516,0.0,0.0,0.0
71,9,405,4.642879938865632,5.279165255746745,14.022773699710266,9.12260355833194,0.1,0.0874364084079444,0.0
72,9,206,4.328299040286132,5.990736950334627,10.53229333991623,8.286400543332949,0.0,0.0,0.0
73,9,372,4.692670660835638,6.19967363328226,11.46916518812141,8.642563008844267,0.0,0.0,0.0
74,9,81,3.7798667266359303,5.768122264758195,10.401429944506598,7.52140994607244,0.0,0.0,0.0
75,9,435,3.5449037611183294,3.687970125700908,8.43544323097012,6.694635489571503,0.0,0.0,0.0
76,9,79,4.310482318179922,5.121285760374453,10.59207301184632,8.186411381442817,0.0,0.0,0.0
77,9,362,4.815658910838222,6.586302985469788,11.709382903940895,9.187285819636164,0.0,0.0,0.0
78,9,374,4.3171401041271515,5.237884303172453,10.463370762745777,8.022703746299127,0.0,0.0,0.0
79,9,391,5.049818518029462,5.171941978581629,12.480958857132912,9.350314601279205,0.4,0.17674533450340862,0.0
80,9,377,4.265350760968435,5.367363552978087,9.782447261150123,8.050141120707996,0.0,0.0,0.0
81,9,290,4.37501394131734,5.045508742884158,9.93107330344242,7.716199947894344,0.0,0.0,0.0
82,9,54,4.584608913300525,5.951661125477803,14.170705904835222,8.481884547485127,0.1,0.2647159184284521,0.0
83,9,228,4.557488279578438,5.431301217171959,11.976586610001734,8.592783644937011,0.0,0.0,0.0
84,9,191,4.69581289791099,6.526864722249334,9.747083295101508,8.026553496824326,0.0,0.0,0.0
85,9,119,3.93159367408172,6.3933707141550595,10.686770064611983,8.324512870816534,0.0,0.0,0.0
86,9,382,3.8795644487464243,5.204545778673049,10.594514886432902,7.41032082723625,0.0,0.0,0.0
87,9,283,3.7818480256913687,4.284910562817555,9.861249155361877,7.318752476980961,0.0,0.0,0.0
88,9,384,4.207183338137709,5.527541380816743,12.001626557075042,8.101151472846269,0.1,0.3995040197288488,0.0
89,9,442,4.84963058598898,6.088046298521012,14.137608087310385,9.117774166568307,0.1,0.0,0.0
90,9,491,4.404223473392532,6.325041596903865,9.838544079975925,8.13040426274496,0.0,0.0,0.0
91,9,238,4.687485702129313,5.726045631850021,13.442949987670337,9.143408745492549,0.1,0.09990759986319395,0.0
92,9,194,4.448119495881608,5.775981808467865,10.261913475055753,8.17459493372876,0.0,0.0,0.0
93,9,98,4.045214754149005,4.656771550622814,9.80609328632273,7.443905237190161,0.0,0.0,0.0
94,9,418,4.387014508372765,6.860135382478551,11.672983579318988,8.037085345358516,0.0,0.0,0.0
95,9,237,4.22961780691311,4.474000153043036,10.334042281153232,7.574721839307083,0.0,0.0,0.0
96,9,110,4.585976429584905,4.668112395401925,11.74198026307165,8.677797581612998,0.0,0.0,0.0
97,9,205,4.827345917728046,6.09571602172146,11.311781723333988,8.812505867454082,0.0,0.0,0.0
98,9,456,4.739233683809138,6.034915191286024,12.623434699818302,8.436655560960524,0.1,0.10076491497719031,0.0
99,9,406,4.540748632185595,6.243412358032497,12.433104689871834,8.761564691745129,0.1,0.02583441825151315,1.0
100,9,482,4.181189996441541,6.009497337943652,11.078368797274992,7.774319815332463,0.0,0.0,0.0
101,9,303,4.408323922308876,5.935538661232086,10.0822343840337,8.060299393320978,0.0,0.0,0.0
102,9,366,4.064763467669605,4.450192338875632,12.731133851197168,8.196969056509918,0.1,0.14114143236286325,0.0
103,9,131,4.693135701968137,5.3757533548060215,9.898284783102962,7.994764763836693,0.0,0.0,0.0
104,9,396,4.865220109837685,5.730892550569057,9.311276521763483,8.157963595429923,0.0,0.0,0.0
105,9,40,4.327508230320889,5.435628639901861,11.243829762482031,7.941433734709763,0.0,0.0,0.0
106,9,32,4.142998205795337,4.803346498731211,10.959113388761084,7.849584798411589,0.0,0.0,0.0
107,9,17,5.026493295389695,4.970916426784887,12.439157533909732,9.348121306245032,0.1,0.19595046766190793,0.0
108,9,210,4.5719544497861,5.898538959223449,10.064919824627406,8.049727044202395,0.0,0.0,0.0
109,9,76,4.020294211847804,5.423444351340573,10.434170044768779,7.994848161042486,0.0,0.0,0.0
